appPrice,numberOfApps,numberOfGames,total,
0,489621,101666,591287,
0.99,130744,50179,180923,
1.99,60541,14134,74675,
2.99,33058,6060,39118,
3.99,16367,1341,17708,
4.99,19041,2182,21223,
5.99,5354,263,5617,
6.99,3029,273,3302,
7.99,2421,110,2531,
8.99,1703,50,1753,
9.99,8711,472,9183,
10.99,670,16,686,
11.99,799,24,823,
12.99,718,9,727,
13.99,356,24,380,
14.99,1389,35,1424,
15.99,249,14,263,
16.99,392,7,399,
17.99,210,9,219,
18.99,284,6,290,
19.99,2166,61,2227,
20.99,90,6,96,
21.99,202,11,213,
22.99,117,7,124,
23.99,83,3,86,
24.99,633,10,643,
25.99,205,1,206,
26.99,44,0,44,
27.99,198,1,199,
28.99,84,13,97,
29.99,1069,18,1087,
30.99,61,0,61,
31.99,19,0,19,
32.99,29,2,31,
33.99,113,0,113,
34.99,168,1,169,
35.99,43,0,43,
36.99,23,0,23,
37.99,80,0,80,
38.99,35,1,36,
39.99,338,3,341,
40.99,20,0,20,
41.99,22,0,22,
42.99,32,0,32,
43.99,26,0,26,
44.99,85,1,86,
45.99,11,0,11,
46.99,17,0,17,
47.99,47,1,48,
48.99,27,0,27,
49.99,489,8,497,
54.99,93,4,97,
59.99,100,7,107,
64.99,97,0,97,
69.99,80,3,83,
74.99,64,0,64,
79.99,72,0,72,
84.99,20,2,22,
89.99,71,3,74,
94.99,25,0,25,
99.99,352,14,366,
109.99,16,0,16,
119.99,42,0,42,
124.99,7,0,7,
129.99,25,1,26,
139.99,32,0,32,
149.99,67,0,67,
159.99,18,0,18,
169.99,14,0,14,
174.99,2,1,3,
179.99,18,0,18,
189.99,12,0,12,
199.99,86,3,89,
209.99,6,0,6,
219.99,23,1,24,
229.99,4,0,4,
249.99,29,0,29,
299.99,58,1,59,
349.99,19,3,22,
399.99,25,0,25,
449.99,7,0,7,
499.99,31,0,31,
599.99,11,0,11,
699.99,4,0,4,
799.99,8,0,8,
899.99,3,0,3,
999.99,44,1,45,